Q7#	LC1a	LC1_1	LC1_2	LC1_3	LC1_4	LC2a_1	LC2a_2	LC2a_3	LC2a_4	LC2a_5	LC2a_6	LC2a_7	LC2a_8	LC2a_9	LC2a_10	LC2a_11	LC2a_12	LC2a_13	LC2a_14	LC2a_15	LC2a_98	LC2a_Other	LC2b	LC2c	LC2c_Other	LC2d	LC2d_Other	LC2e	LC3	LC4	LC4_Other	LC5a	LC5b	LC5c
North East	Do not have any debt	Yes	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	No	No	Yes	No		Family/friend/household member	No collateral required		Buy fertilizer/livestock/seeds		50000	Never missed a payment	NA		No	NA	NA
North East	Do not have any debt	No	No	No	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA		NA		NA	NA	Do not believe in it		Yes	Monthly	100
North East	Have a manageable amount of debt	Yes	No	Yes	No	No	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No		Savings group that you save with or borrow from	To get the money as soon as possible		Education		70000	Missed a payment once in the past 12 months	NA		Yes	Weekly	200
North East	Do not have any debt	Yes	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No		From a bank – Commercial bank	Distance/nearness to the lender		Start/expand a business		6e+05	Never missed a payment	NA		No	NA	NA
North East	Do not have any debt	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA		NA		NA	NA	Did not need it		No	NA	NA
North East	Have a manageable amount of debt	Yes	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	No	No	Yes	No		Village/community association	To get the money as soon as possible		Buy fertilizer/livestock/seeds		150000	Never missed a payment	NA		No	NA	NA
North East	Do not have any debt	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	No		Family/friend/household member	Distance/nearness to the lender		Travel		5000	Lender did not require fixed repayment schedule	NA		Yes	Occasionally	200
North East	Have a manageable amount of debt	Yes	Yes	Yes	Yes	No	No	No	No	No	No	No	No	No	Yes	Yes	No	No	No	No	No		Co-operative	Suitable repayment period		Start/expand a business		50000	Never missed a payment	NA		Yes	Occasionally	200
North East	Do not have any debt	Yes	No	Yes	No	No	No	No	No	No	No	No	No	No	Yes	Yes	No	No	No	No	No		Co-operative	Quality of service provided		Buy fertilizer/livestock/seeds		15000	Never missed a payment	NA		Yes	Occasionally	100
North East	Do not have any debt	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA		NA		NA	NA	Spouse/partner won’t allow it		No	NA	NA
North East	Have a manageable amount of debt	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	Yes	No		Family/friend/household member	Suitable repayment period		Buy fertilizer/livestock/seeds		20000	Never missed a payment	NA		Yes	Monthly	50
North East	Do not have any debt	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	No		Family/friend/household member	To get the money as soon as possible		Buy food/clothing		7000	Never missed a payment	NA		Yes	Weekly	500
